n1,n2,weight
19910,18299,-1.0
26259,24540,-1.0
26260,24540,-1.0
33030,32708,1.0
33100,32708,1.0
33105,32708,1.0
33095,32708,1.0
32709,32708,1.0
33070,32708,-1.0
33104,32708,-1.0
3945,1486,1.0
3946,1486,1.0
3947,1486,1.0
3948,1486,1.0
3949,1486,-1.0
18908,17734,-1.0
19203,17946,-1.0
19204,17946,-1.0
17483,16351,-1.0
17484,16351,-1.0
29594,28755,-1.0
15913,13725,-1.0
3630,1139,1.0
3631,1139,1.0
3632,1139,-1.0
25287,26790,1.0
28113,26790,-1.0
28114,26790,-1.0
21599,19902,-1.0
21600,19902,-1.0
8243,4660,1.0
8244,4660,1.0
17873,19237,1.0
18986,19237,-1.0
20849,19237,-1.0
17883,19237,-1.0
29088,27988,1.0
29089,27988,1.0
29090,27988,1.0
29091,27988,1.0
29092,27988,1.0
29093,27988,-1.0
29094,27988,-1.0
29095,27988,-1.0
29096,27988,-1.0
29097,27988,-1.0
25285,23768,-1.0
22461,20873,1.0
27357,25931,1.0
27358,25931,-1.0
27359,25931,-1.0
27360,25931,-1.0
23788,22079,-1.0
34385,33892,-1.0
28595,27466,-1.0
24933,23320,-1.0
24934,23320,-1.0
14969,12534,1.0
14970,12534,1.0
12371,12534,1.0
14971,12534,1.0
14972,12534,-1.0
7909,4176,1.0
7910,4176,1.0
11439,7416,-1.0
7031,3127,-1.0
24478,22904,1.0
24886,23293,1.0
24887,23293,-1.0
24888,23293,-1.0
24889,23293,-1.0
24890,23293,-1.0
34311,33791,1.0
29441,28589,-1.0
29442,28589,-1.0
29443,28589,-1.0
29444,28589,-1.0
20589,19040,1.0
20590,19040,-1.0
20591,19040,-1.0
20592,19040,-1.0
23341,30053,-1.0
30849,30053,-1.0
4107,1601,1.0
7565,3663,1.0
3672,3663,-1.0
23105,21436,-1.0
23106,21436,-1.0
30795,29990,1.0
30796,29990,1.0
30797,29990,1.0
26474,24849,-1.0
24657,22996,-1.0
24658,22996,-1.0
9020,5330,1.0
23834,22127,1.0
23835,22127,-1.0
17072,15962,-1.0
31946,31140,1.0
27290,25896,1.0
27291,25896,-1.0
17735,16957,-1.0
6589,2869,1.0
6367,2869,1.0
6590,2869,1.0
6586,2869,1.0
6591,2869,1.0
6592,2869,-1.0
6593,2869,-1.0
6594,2869,-1.0
23979,22309,-1.0
14404,11625,1.0
14405,11625,-1.0
12805,9105,-1.0
12806,9105,-1.0
9103,9105,-1.0
20134,18546,1.0
34491,34467,-1.0
33373,33170,1.0
33354,33170,-1.0
17615,16696,1.0
11064,6984,-1.0
11075,6984,-1.0
7765,3949,-1.0
15656,9872,-1.0
28013,26578,1.0
28014,26578,1.0
12044,8349,1.0
20400,18845,1.0
20401,18845,1.0
20402,18845,-1.0
30742,29937,1.0
30743,29937,-1.0
31974,31268,-1.0
31968,31268,-1.0
27884,26318,1.0
27885,26318,1.0
32448,32300,-1.0
30420,29730,-1.0
21034,19389,-1.0
21035,19389,-1.0
13128,9566,-1.0
13129,9566,-1.0
13130,9566,-1.0
9826,5937,1.0
27475,25982,-1.0
28539,27388,1.0
28540,27388,-1.0
28541,27388,-1.0
28542,27388,-1.0
28543,27388,-1.0
28544,27388,-1.0
14483,11819,-1.0
9053,5351,-1.0
9054,5351,-1.0
19226,17957,1.0
19227,17957,-1.0
1448,292,-1.0
17786,17119,1.0
17787,17119,-1.0
17788,17119,-1.0
17789,17119,-1.0
17790,17119,-1.0
26744,25261,1.0
7211,3257,1.0
11590,7712,1.0
7146,3185,-1.0
8883,5227,1.0
8884,5227,-1.0
8885,5227,-1.0
8886,5227,-1.0
14180,11100,-1.0
14181,11100,-1.0
14182,11100,-1.0
8426,4811,1.0
8427,4811,1.0
8428,4811,1.0
8429,4811,1.0
8430,4811,1.0
8431,4811,-1.0
8432,4811,-1.0
8433,4811,-1.0
8434,4811,-1.0
8435,4811,-1.0
8436,4811,-1.0
8437,4811,-1.0
33508,33120,-1.0
8459,4845,1.0
8460,4845,1.0
11522,7592,1.0
11523,7592,1.0
250,7592,-1.0
11524,7592,-1.0
5207,2161,-1.0
3617,1129,-1.0
8567,5001,1.0
8568,5001,1.0
8569,5001,-1.0
8570,5001,-1.0
23827,22121,1.0
23828,22121,1.0
23829,22121,1.0
7166,3216,-1.0
17686,16851,1.0
17687,16851,1.0
17688,16851,-1.0
17689,16851,-1.0
22990,21285,-1.0
22991,21285,-1.0
19697,18179,-1.0
19698,18179,-1.0
16610,15097,-1.0
16611,15097,-1.0
618,6056,-1.0
9447,5785,1.0
67,13,1.0
68,13,1.0
69,13,1.0
70,13,1.0
71,13,1.0
72,13,1.0
73,13,1.0
74,13,1.0
75,13,-1.0
76,13,-1.0
77,13,-1.0
78,13,-1.0
79,13,-1.0
80,13,-1.0
81,13,-1.0
82,13,-1.0
83,13,-1.0
84,13,-1.0
12799,9103,-1.0
12800,9103,-1.0
12801,9103,-1.0
12802,9103,-1.0
21037,19392,-1.0
20586,20593,-1.0
11750,7947,1.0
23114,23026,1.0
4745,2007,1.0
4746,2007,1.0
2012,2007,-1.0
16234,14338,-1.0
31862,30900,-1.0
10735,15967,1.0
21814,20271,-1.0
6343,2801,-1.0
6344,2801,-1.0
32339,31662,1.0
32273,31662,1.0
22294,20720,-1.0
14785,12248,-1.0
21214,19575,1.0
21215,19575,1.0
21216,19575,1.0
21217,19575,1.0
21218,19575,1.0
21219,19575,1.0
