n1,n2,weight
374,105,-1.0
115,105,-1.0
1118,1015,-1.0
1119,1015,-1.0
1120,1015,-1.0
1317,555,-1.0
1318,555,-1.0
1225,422,-1.0
1904,151,1.0
1905,151,1.0
1546,866,1.0
1547,866,1.0
1906,866,1.0
1907,866,1.0
1908,866,1.0
1909,1621,-1.0
1188,1055,-1.0
1189,1055,-1.0
1910,257,1.0
1911,257,1.0
717,257,1.0
718,257,1.0
719,257,1.0
720,257,1.0
721,257,1.0
1682,1408,-1.0
1134,1020,-1.0
1912,745,-1.0
1431,745,-1.0
1913,745,-1.0
995,67,1.0
996,67,-1.0
964,67,-1.0
1098,1003,-1.0
1914,1003,-1.0
1099,1003,-1.0
1326,570,-1.0
1557,888,1.0
1915,888,1.0
938,60,1.0
939,60,1.0
940,60,1.0
941,60,1.0
942,60,1.0
943,60,1.0
944,60,1.0
945,60,1.0
946,60,1.0
1916,60,-1.0
1022,74,1.0
1023,74,1.0
1917,74,-1.0
1918,1065,-1.0
1919,1065,-1.0
1190,1065,-1.0
1191,1065,-1.0
1920,339,1.0
1921,339,1.0
1922,339,1.0
1152,1034,-1.0
784,285,1.0
785,285,1.0
1923,285,1.0
786,285,1.0
1924,285,-1.0
787,285,-1.0
788,285,-1.0
789,285,-1.0
498,157,1.0
499,157,1.0
1925,157,1.0
500,157,1.0
1653,991,-1.0
1654,991,-1.0
1679,1387,-1.0
1559,890,-1.0
1926,314,1.0
1927,314,1.0
1928,314,1.0
873,314,1.0
1929,314,1.0
1930,314,1.0
870,314,-1.0
871,314,-1.0
872,314,-1.0
446,126,1.0
447,126,1.0
448,126,1.0
449,126,1.0
450,126,-1.0
1931,1535,-1.0
633,228,-1.0
320,4,1.0
321,4,1.0
322,4,1.0
323,4,1.0
324,4,-1.0
325,4,-1.0
1632,973,1.0
1633,973,1.0
1634,973,1.0
1635,973,1.0
1432,746,-1.0
1699,1465,1.0
1445,1465,1.0
1687,1465,1.0
1686,1465,1.0
1932,1448,1.0
1933,1448,1.0
1934,1448,1.0
1935,1448,1.0
594,188,1.0
1936,188,-1.0
595,188,-1.0
1290,516,-1.0
1291,516,-1.0
770,281,1.0
1937,281,1.0
771,281,1.0
772,281,1.0
773,281,1.0
1938,281,1.0
774,281,1.0
775,281,-1.0
1939,148,1.0
1940,945,1.0
1592,945,1.0
1593,945,1.0
1941,945,1.0
1594,945,1.0
1102,1006,-1.0
1103,1006,-1.0
602,194,-1.0
1258,467,1.0
1259,467,1.0
1219,415,-1.0
1220,415,-1.0
1071,96,1.0
1072,96,1.0
1073,96,1.0
1942,96,1.0
1342,625,-1.0
1943,1534,-1.0
1764,1747,-1.0
1344,633,-1.0
415,120,1.0
416,120,1.0
417,120,1.0
418,120,-1.0
419,120,-1.0
1944,948,-1.0
1945,191,-1.0
598,191,-1.0
1946,191,-1.0
1353,659,-1.0
1354,659,-1.0
1355,659,-1.0
1356,659,-1.0
1947,472,-1.0
1948,472,-1.0
1949,472,-1.0
1287,511,-1.0
1288,511,-1.0
1950,511,-1.0
1951,511,-1.0
1359,661,-1.0
1360,661,-1.0
1361,661,-1.0
1362,661,-1.0
1308,552,1.0
1309,552,1.0
1310,552,-1.0
1311,552,-1.0
1312,552,-1.0
1313,552,-1.0
1314,552,-1.0
1952,880,-1.0
1953,880,-1.0
1954,880,-1.0
1955,880,-1.0
439,125,1.0
440,125,1.0
441,125,1.0
442,125,1.0
443,125,1.0
444,125,1.0
416,125,-1.0
445,125,-1.0
429,122,1.0
430,122,1.0
431,122,1.0
432,122,-1.0
433,122,-1.0
434,122,-1.0
435,122,-1.0
436,122,-1.0
897,331,1.0
898,331,1.0
899,331,1.0
1956,331,1.0
1957,331,1.0
1483,807,-1.0
768,279,1.0
1958,279,1.0
1959,279,1.0
769,279,-1.0
599,192,-1.0
824,819,-1.0
1496,819,-1.0
1144,1031,-1.0
1145,1031,-1.0
1960,1206,-1.0
1658,1206,-1.0
1346,655,-1.0
120,16,1.0
121,16,1.0
122,16,1.0
123,16,1.0
124,16,1.0
122,16,1.0
125,16,-1.0
126,16,-1.0
127,16,-1.0
128,16,-1.0
129,16,-1.0
311,44,1.0
312,44,1.0
313,44,1.0
314,44,-1.0
315,44,-1.0
1961,44,-1.0
1009,72,1.0
1010,72,1.0
1011,72,1.0
1012,72,1.0
1013,72,1.0
1014,72,-1.0
1015,72,-1.0
1962,985,-1.0
1650,985,-1.0
1963,985,-1.0
287,38,1.0
288,38,1.0
289,38,1.0
290,38,1.0
291,38,-1.0
292,38,-1.0
1277,493,-1.0
1964,493,-1.0
702,254,1.0
1965,254,1.0
703,254,1.0
1966,332,1.0
1967,332,1.0
1968,332,1.0
1969,332,1.0
1970,332,1.0
1971,332,1.0
1972,332,1.0
1618,965,-1.0
1619,965,-1.0
1620,965,-1.0
1621,965,-1.0
1622,965,-1.0
411,119,1.0
412,119,1.0
413,119,1.0
414,119,-1.0
824,835,-1.0
825,835,-1.0
1508,835,-1.0
1509,835,-1.0
611,212,1.0
1436,770,-1.0
1973,770,-1.0
1437,770,-1.0
1438,770,-1.0
604,196,1.0
605,196,1.0
606,196,1.0
607,196,1.0
608,196,-1.0
1974,196,-1.0
937,59,-1.0
933,58,-1.0
934,58,-1.0
935,58,-1.0
936,58,-1.0
1463,791,-1.0
1464,791,-1.0
1975,94,-1.0
102,14,1.0
103,14,1.0
104,14,1.0
105,14,1.0
106,14,1.0
107,14,1.0
108,14,1.0
1976,14,1.0
109,14,-1.0
110,14,-1.0
111,14,-1.0
112,14,-1.0
113,14,-1.0
114,14,-1.0
115,14,-1.0
48,0,1.0
49,0,1.0
50,0,1.0
51,0,1.0
52,0,1.0
53,0,1.0
54,0,-1.0
55,0,-1.0
56,0,-1.0
57,0,-1.0
58,0,-1.0
59,0,-1.0
1500,826,-1.0
1501,826,-1.0
1977,91,-1.0
1720,1573,1.0
1721,1573,1.0
1722,1573,1.0
1251,450,-1.0
1252,450,-1.0
1253,450,-1.0
244,30,1.0
245,30,1.0
246,30,1.0
1978,30,1.0
1979,30,1.0
1980,30,1.0
1981,30,1.0
1982,30,1.0
1983,30,1.0
1984,30,-1.0
1985,30,-1.0
247,30,-1.0
1986,30,-1.0
1987,30,-1.0
1988,30,-1.0
1989,30,-1.0
1990,30,-1.0
248,30,-1.0
249,30,-1.0
1459,786,-1.0
1674,1306,-1.0
1491,815,-1.0
466,149,1.0
1991,149,1.0
1992,149,1.0
467,149,1.0
1993,149,1.0
1994,149,1.0
468,149,1.0
1995,149,1.0
1750,1700,1.0
1751,1700,1.0
726,259,1.0
727,259,1.0
728,259,1.0
729,259,1.0
730,259,1.0
731,259,1.0
732,259,1.0
364,102,-1.0
115,102,-1.0
457,129,-1.0
458,129,-1.0
459,129,-1.0
464,144,1.0
465,144,1.0
1996,601,1.0
1997,601,1.0
1998,601,1.0
1999,601,1.0
2000,601,1.0
2001,601,1.0
2002,601,1.0
1335,601,-1.0
1280,506,-1.0
1261,473,1.0
1262,473,-1.0
1263,473,-1.0
1264,473,-1.0
2003,473,-1.0
1265,473,-1.0
858,303,1.0
859,303,1.0
860,303,1.0
861,303,1.0
862,303,1.0
863,303,1.0
864,303,-1.0
1083,1072,-1.0
2004,207,1.0
2005,207,1.0
2006,207,-1.0
2007,207,-1.0
2008,207,-1.0
824,820,-1.0
1497,820,-1.0
2009,152,1.0
2010,152,1.0
429,123,1.0
437,123,1.0
438,123,-1.0
2011,334,1.0
2012,334,1.0
2013,334,1.0
2014,334,1.0
2015,334,1.0
1610,959,1.0
959,62,1.0
960,62,1.0
961,62,1.0
962,62,1.0
963,62,1.0
964,62,1.0
965,62,-1.0
2016,604,-1.0
2017,604,-1.0
1336,604,-1.0
77,39,1.0
78,39,1.0
79,39,1.0
80,39,1.0
81,39,1.0
71,39,-1.0
72,39,-1.0
73,39,-1.0
74,39,-1.0
75,39,-1.0
76,39,-1.0
1168,1042,-1.0
1169,1042,-1.0
2018,1343,-1.0
2019,165,1.0
539,165,1.0
540,165,1.0
2020,165,-1.0
541,165,-1.0
542,165,-1.0
2021,150,1.0
2022,150,1.0
2023,150,1.0
2024,150,1.0
2025,150,1.0
2026,150,1.0
2027,150,1.0
469,150,1.0
1759,1711,-1.0
838,296,1.0
839,296,1.0
840,296,1.0
841,296,1.0
842,296,-1.0
843,296,-1.0
844,296,-1.0
845,296,-1.0
1676,1347,-1.0
2028,202,-1.0
2029,202,-1.0
1240,431,-1.0
1241,431,-1.0
2030,874,-1.0
2031,1075,-1.0
1247,443,-1.0
1033,78,1.0
1034,78,1.0
1035,78,1.0
1036,78,1.0
1037,78,-1.0
1295,523,-1.0
554,171,-1.0
2032,171,-1.0
1184,1053,-1.0
1185,1053,-1.0
1186,1053,-1.0
2033,1053,-1.0
903,351,1.0
904,351,1.0
905,351,1.0
401,117,1.0
402,117,1.0
2034,865,1.0
2035,865,1.0
2036,865,1.0
2037,865,1.0
2038,865,1.0
1286,510,-1.0
1418,738,-1.0
1419,738,-1.0
1420,738,-1.0
1421,738,-1.0
1407,706,-1.0
1408,706,-1.0
1329,577,-1.0
1614,963,1.0
1615,963,-1.0
2039,846,-1.0
1526,846,-1.0
1527,846,-1.0
2040,629,-1.0
2041,538,-1.0
2042,538,-1.0
1301,538,-1.0
1141,1028,-1.0
1332,594,-1.0
460,132,-1.0
999,69,1.0
988,66,1.0
989,66,1.0
990,66,1.0
991,66,1.0
992,66,1.0
993,66,-1.0
994,66,-1.0
2043,95,-1.0
291,288,-1.0
2044,204,-1.0
2045,204,-1.0
1727,1583,-1.0
2046,1030,-1.0
291,1491,-1.0
165,1,1.0
166,1,1.0
167,1,1.0
168,1,1.0
169,1,-1.0
170,1,-1.0
171,1,-1.0
1445,1701,1.0
1211,397,-1.0
1212,397,-1.0
1182,1051,-1.0
1183,1051,-1.0
2047,825,-1.0
1499,825,-1.0
1522,843,-1.0
1523,843,-1.0
1518,843,-1.0
1340,618,-1.0
1061,88,-1.0
1062,88,-1.0
1683,1445,1.0
1684,1445,1.0
1685,1445,1.0
1686,1445,1.0
1687,1445,1.0
2048,960,-1.0
1680,1397,-1.0
1465,792,1.0
1466,792,1.0
1467,792,1.0
1468,792,1.0
1469,792,1.0
1470,792,1.0
1471,792,1.0
1472,792,-1.0
1473,792,-1.0
1474,792,-1.0
1475,792,-1.0
1476,792,-1.0
272,36,1.0
2049,36,1.0
2050,36,1.0
2051,36,1.0
462,135,-1.0
562,584,-1.0
563,584,-1.0
564,584,-1.0
565,584,-1.0
2052,193,1.0
600,193,1.0
601,193,1.0
2053,193,1.0
2054,502,-1.0
2055,502,-1.0
2056,502,-1.0
391,115,-1.0
392,115,-1.0
393,115,-1.0
394,115,-1.0
395,115,-1.0
1700,1472,-1.0
1701,1472,-1.0
1702,1472,-1.0
1703,1472,-1.0
2057,264,1.0
2058,264,1.0
2059,264,-1.0
2060,264,-1.0
1057,82,-1.0
2061,1617,-1.0
1560,893,-1.0
2062,220,-1.0
703,700,1.0
2063,525,-1.0
1297,525,-1.0
2064,525,-1.0
2065,525,-1.0
2066,1077,-1.0
1659,1243,-1.0
326,6,1.0
327,6,1.0
328,6,1.0
329,6,1.0
330,6,1.0
331,6,-1.0
332,6,-1.0
333,6,-1.0
334,6,-1.0
335,6,-1.0
336,6,-1.0
337,6,-1.0
338,6,-1.0
339,6,-1.0
340,6,-1.0
341,6,-1.0
224,2,1.0
225,2,1.0
226,2,1.0
227,2,1.0
228,2,1.0
229,2,1.0
230,2,1.0
231,2,1.0
232,2,-1.0
233,2,-1.0
234,2,-1.0
235,2,-1.0
236,2,-1.0
237,2,-1.0
238,2,-1.0
239,2,-1.0
240,2,-1.0
241,2,-1.0
242,2,-1.0
243,2,-1.0
1566,931,-1.0
1608,955,-1.0
1691,1452,1.0
1692,1452,1.0
1693,1452,1.0
1694,1452,1.0
1695,1452,1.0
1696,1452,1.0
1697,1452,1.0
1698,1452,1.0
640,234,-1.0
2067,306,1.0
2068,306,1.0
2069,306,1.0
2070,306,-1.0
2071,306,-1.0
1236,429,-1.0
1658,1207,-1.0
1708,1505,-1.0
1159,1038,-1.0
1160,1038,-1.0
2072,1079,-1.0
1209,1079,-1.0
1156,1037,-1.0
1157,1037,-1.0
1158,1037,-1.0
2073,21,1.0
2074,21,1.0
2075,21,1.0
2076,21,1.0
2077,21,1.0
2078,21,1.0
2079,21,1.0
2080,21,1.0
2081,21,1.0
2082,21,1.0
2083,21,1.0
2084,21,1.0
2085,21,1.0
2086,21,-1.0
2087,21,-1.0
2088,21,-1.0
